temperature, focus
-15.0,17.33
-14.9,17.33
-14.8,17.32
-14.7,17.32
-14.6,17.32
-14.5,17.31
-14.4,17.31
-14.3,17.31
-14.2,17.3
-14.1,17.3
-14.0,17.3
-13.9,17.29
-13.8,17.29
-13.7,17.29
-13.6,17.28
-13.5,17.28
-13.4,17.28
-13.3,17.27
-13.2,17.27
-13.1,17.27
-13.0,17.26
-12.9,17.26
-12.8,17.25
-12.7,17.25
-12.6,17.25
-12.5,17.24
-12.4,17.24
-12.3,17.24
-12.2,17.23
-12.1,17.23
-12.0,17.23
-11.9,17.22
-11.8,17.22
-11.7,17.22
-11.6,17.21
-11.5,17.21
-11.4,17.21
-11.3,17.2
-11.2,17.2
-11.1,17.2
-11.0,17.19
-10.9,17.19
-10.8,17.19
-10.7,17.18
-10.6,17.18
-10.5,17.18
-10.4,17.17
-10.3,17.17
-10.2,17.17
-10.1,17.16
-10.0,17.16
-9.9,17.15
-9.8,17.15
-9.7,17.15
-9.6,17.14
-9.5,17.14
-9.4,17.14
-9.3,17.13
-9.2,17.13
-9.1,17.13
-9.0,17.12
-8.9,17.12
-8.8,17.12
-8.7,17.11
-8.6,17.11
-8.5,17.11
-8.4,17.1
-8.3,17.1
-8.2,17.1
-8.1,17.09
-8.0,17.09
-7.9,17.09
-7.8,17.08
-7.7,17.08
-7.6,17.08
-7.5,17.07
-7.4,17.07
-7.3,17.07
-7.2,17.06
-7.1,17.06
-7.0,17.05
-6.9,17.05
-6.8,17.05
-6.7,17.04
-6.6,17.04
-6.5,17.04
-6.4,17.03
-6.3,17.03
-6.2,17.03
-6.1,17.02
-6.0,17.02
-5.9,17.02
-5.8,17.01
-5.7,17.01
-5.6,17.01
-5.5,17.0
-5.4,17.0
-5.3,17.0
-5.2,16.99
-5.1,16.99
-5.0,16.99
-4.9,16.98
-4.8,16.98
-4.7,16.98
-4.6,16.97
-4.5,16.97
-4.4,16.97
-4.3,16.96
-4.2,16.96
-4.1,16.95
-4.0,16.95
-3.9,16.95
-3.8,16.94
-3.7,16.94
-3.6,16.94
-3.5,16.93
-3.4,16.93
-3.3,16.93
-3.2,16.92
-3.1,16.92
-3.0,16.92
-2.9,16.91
-2.8,16.91
-2.7,16.91
-2.6,16.9
-2.5,16.9
-2.4,16.9
-2.3,16.89
-2.2,16.89
-2.1,16.89
-2.0,16.88
-1.9,16.88
-1.8,16.88
-1.7,16.87
-1.6,16.87
-1.5,16.87
-1.4,16.86
-1.3,16.86
-1.2,16.85
-1.1,16.85
-1.0,16.85
-0.9,16.84
-0.8,16.84
-0.7,16.84
-0.6,16.83
-0.5,16.83
-0.4,16.83
-0.3,16.82
-0.2,16.82
-0.1,16.82
-0.0,16.81
0.1,16.81
0.2,16.81
0.3,16.8
0.4,16.8
0.5,16.8
0.6,16.79
0.7,16.79
0.8,16.79
0.9,16.78
1.0,16.78
1.1,16.78
1.2,16.77
1.3,16.77
1.4,16.77
1.5,16.76
1.6,16.76
1.7,16.75
1.8,16.75
1.9,16.75
2.0,16.74
2.1,16.74
2.2,16.74
2.3,16.73
2.4,16.73
2.5,16.73
2.6,16.72
2.7,16.72
2.8,16.72
2.9,16.71
3.0,16.71
3.1,16.71
3.2,16.7
3.3,16.7
3.4,16.7
3.5,16.69
3.6,16.69
3.7,16.69
3.8,16.68
3.9,16.68
4.0,16.68
4.1,16.67
4.2,16.67
4.3,16.66
4.4,16.66
4.5,16.66
4.6,16.65
4.7,16.65
4.8,16.65
4.9,16.64
5.0,16.64
5.1,16.64
5.2,16.63
5.3,16.63
5.4,16.63
5.5,16.62
5.6,16.62
5.7,16.62
5.8,16.61
5.9,16.61
6.0,16.61
6.1,16.6
6.2,16.6
6.3,16.6
6.4,16.59
6.5,16.59
6.6,16.59
6.7,16.58
6.8,16.58
6.9,16.58
7.0,16.57
7.1,16.57
7.2,16.56
7.3,16.56
7.4,16.56
7.5,16.55
7.6,16.55
7.7,16.55
7.8,16.54
7.9,16.54
8.0,16.54
8.1,16.53
8.2,16.53
8.3,16.53
8.4,16.52
8.5,16.52
8.6,16.52
8.7,16.51
8.8,16.51
8.9,16.51
9.0,16.5
9.1,16.5
9.2,16.5
9.3,16.49
9.4,16.49
9.5,16.49
9.6,16.48
